CODOP,Operando,Addr. Mode,Código Máquina Calculado,Bytes por calcular,Total de Bytes
ldab,Operando,[IDX2],E6,3,4
LDD,Operando,Inmediato,CC,2,3
ldd,Operando,Directo,DC,1,2
ldd,Operando,Extendido,FC,2,3
ldd,Operando,IDX,EC,1,2
ldd,Operando,IDX1,EC,2,3
ldd,Operando,IDX2,EC,3,4
ldd,Operando,[D;IDX],EC,1,2
ldd,Operando,[IDX2],EC,3,4
LDS,Operando,Inmediato,CF,2,3
lds,Operando,Directo,DF,1,2
lds,Operando,Extendido,FF,2,3
lds,Operando,IDX,EF,1,2
lds,Operando,IDX1,EF,2,3
lds,Operando,IDX2,EF,3,4
lds,Operando,[D;IDX],EF,1,2
lds,Operando,[IDX2],EF,3,4
LDX,Operando,Inmediato,CE,2,3
ldx,Operando,Directo,DE,1,2
ldx,Operando,Extendido,FE,2,3
ldx,Operando,IDX,EE,1,2
ldx,Operando,IDX1,EE,2,3
ldx,Operando,IDX2,EE,3,4
ldx,Operando,[D;IDX],EE,1,2
ldx,Operando,[IDX2],EE,3,4
LDY,Operando,Inmediato,CD,2,3
ldy,Operando,Directo,DD,1,2
ldy,Operando,Extendido,FD,2,3
ldy,Operando,IDX,ED,1,2
ldy,Operando,IDX1,ED,2,3
ldy,Operando,IDX2,ED,3,4
ldy,Operando,[D;IDX],ED,1,2
ldy,Operando,[IDX2],ED,3,4
MUL,No Operando,Inherente,12,0,1
ORAA,Operando,Inmediato,8A,1,2
oraa,Operando,Directo,9A,1,2
oraa,Operando,Extendido,BA,2,3
oraa,Operando,IDX,AA,1,2
oraa,Operando,IDX1,AA,2,3
oraa,Operando,IDX2,AA,3,4
oraa,Operando,[D;IDX],AA,2,3
oraa,Operando,[IDX2],AA,3,4
ORAB,Operando,Inmediato,CA,1,2
orab,Operando,Directo,DA,1,2
orab,Operando,Extendido,FA,2,3
orab,Operando,IDX,EA,1,2
orab,Operando,IDX1,EA,2,3
orab,Operando,IDX2,EA,3,4
orab,Operando,[D;IDX],EA,1,2
orab,Operando,[IDX2],EA,3,4
PSHA,No Operando,Inherente,36,0,1
PSHB,No Operando,Inherente,37,0,1
PSHC,No Operando,Inherente,39,0,1
PSHD,No Operando,Inherente,3B,0,1
PSHX,No Operando,Inherente,34,0,1
PSHY,No Operando,Inherente,35,0,1
PULA,No Operando,Inherente,32,0,1
PULB,No Operando,Inherente,33,0,1
PULC,No Operando,Inherente,38,0,1
PULD,No Operando,Inherente,3A,0,1
PULX,No Operando,Inherente,30,0,1
PULY,No Operando,Inherente,31,0,1
ROLA,No Operando,Inherente,45,0,1
ROLB,No Operando,Inherente,55,0,1
RORA,No Operando,Inherente,46,0,1
RORB,No Operando,Inherente,56,0,1
RTC,No Operando,Inherente,0A,0,1
RTI,No Operando,Inherente,0B,0,1
RTS,No Operando,Inherente,3D,0,1
SBA,No Operando,Inherente,1816,0,2
SBCA,Operando,Inmediato,82,1,2
sbca,Operando,Directo,92,1,2
sbca,Operando,Extendido,B2,2,3
sbca,Operando,IDX,A2,1,2
sbca,Operando,IDX1,A2,2,3
sbca,Operando,IDX2,A2,3,4
sbca,Operando,[D;IDX],A2,1,2
sbca,Operando,[IDX2],A2,3,4
SBCB,Operando,Inmediato,C2,1,2
sbcb,Operando,Directo,D2,1,2
sbcb,Operando,Extendido,F2,2,3
sbcb,Operando,IDX,E2,1,2
sbcb,Operando,IDX1,E2,2,3
sbcb,Operando,IDX2,E2,3,4
sbcb,Operando,[D;IDX],E2,1,2
sbcb,Operando,[IDX2],E2,3,4
STAA,Operando,Directo,5A,1,2
staa,Operando,Extendido,7A,2,3
staa,Operando,IDX,6A,1,2
staa,Operando,IDX1,6A,2,3
staa,Operando,IDX2,6A,3,4
staa,Operando,[D;IDX],6A,1,2
staa,Operando,[IDX2],6A,3,4
STAB,Operando,Directo,5B,1,2
stab,Operando,Extendido,7B,2,3
stab,Operando,IDX,6B,1,2
stab,Operando,IDX1,6B,2,3
stab,Operando,IDX2,6B,3,4
stab,Operando,[D;IDX],6B,1,2
stab,Operando,[IDX2],6B,3,4
STD,Operando,Directo,5C,1,2
std,Operando,Extendido,7C,2,3
std,Operando,IDX,6C,1,2
std,Operando,IDX1,6C,2,3
std,Operando,IDX2,6C,3,4
std,Operando,[D;IDX],6C,1,2
std,Operando,[IDX2],6C,3,4
STOP,No Operando,Inherente,183E,0,2
